Record Length,2500,Points,-1.2510001E-3,-1.1600000,,Record Length,2500,Points,-1.2510001E-3,119.9999973E-3,
Sample Interval,1.000000E-6,s,-1.2500001E-3,-1.1400000,,Sample Interval,1.000000E-6,s,-1.2500001E-3,119.9999973E-3,
Trigger Point,1.2510002E3,Samples,-1.2490001E-3,-1.1400000,,Trigger Point,1.2510002E3,Samples,-1.2490001E-3,119.9999973E-3,
,,,-1.2480001E-3,-1.1000000,,,,,-1.2480001E-3,119.9999973E-3,
,,,-1.2470001E-3,-1.0799999,,,,,-1.2470001E-3,119.9999973E-3,
,,,-1.2460001E-3,-1.0599999,,,,,-1.2460001E-3,99.999994040E-3,
Source,CH1,,-1.2450001E-3,-1.0400000,,Source,CH2,,-1.2450001E-3,119.9999973E-3,
Vertical Units,Volts,,-1.2440000E-3,-1.000000,,Vertical Units,Volts,,-1.2440000E-3,99.999994040E-3,
Vertical Scale,499.999988824E-3,,-1.2430002E-3,-979.999959469E-3,,Vertical Scale,499.999988824E-3,,-1.2430002E-3,119.9999973E-3,
Vertical Offset,0,,-1.2420001E-3,-939.999997616E-3,,Vertical Offset,0,,-1.2420001E-3,99.999994040E-3,
Horizontal Units,s,,-1.2410001E-3,-939.999997616E-3,,Horizontal Units,s,,-1.2410001E-3,99.999994040E-3,
Horizontal Scale,249.99999937E-6,,-1.2400001E-3,-879.999995232E-3,,Horizontal Scale,249.99999937E-6,,-1.2400001E-3,119.9999973E-3,
Pt Fmt,Y,,-1.2390001E-3,-879.999995232E-3,,Pt Fmt,Y,,-1.2390001E-3,119.9999973E-3,
Yzero,0.0,,-1.2380001E-3,-819.999992847E-3,,Yzero,40.00000000E-3,,-1.2380001E-3,99.999994040E-3,
Probe Atten,10.0000000,,-1.2370001E-3,-779.999971390E-3,,Probe Atten,10.0000000,,-1.2370001E-3,99.999994040E-3,
,,,-1.2360001E-3,-740.000009537E-3,,,,,-1.2360001E-3,99.999994040E-3,
Note,TBS 1052B-EDU - 16:23:09   02-Jun-22,,-1.2350001E-3,-719.999969006E-3,,Note,TBS 1052B-EDU - 16:23:09   02-Jun-22,,-1.2350001E-3,99.999994040E-3,
,,,-1.2340001E-3,-699.999988079E-3,,,,,-1.2340001E-3,99.999994040E-3,
,,,-1.2330001E-3,-659.999966621E-3,,,,,-1.2330001E-3,99.999994040E-3,
,,,-1.2320001E-3,-620.000004768E-3,,,,,-1.2320001E-3,79.999998212E-3,
,,,-1.2310001E-3,-579.999983311E-3,,,,,-1.2310001E-3,99.999994040E-3,
,,,-1.2300001E-3,-539.999961853E-3,,,,,-1.2300001E-3,79.999998212E-3,
,,,-1.2290000E-3,-500.000000000E-3,,,,,-1.2290000E-3,79.999998212E-3,
,,,-1.2280002E-3,-459.999978542E-3,,,,,-1.2280002E-3,79.999998212E-3,
,,,-1.2270001E-3,-419.999986887E-3,,,,,-1.2270001E-3,79.999998212E-3,
,,,-1.2260001E-3,-399.99997616E-3,,,,,-1.2260001E-3,79.999998212E-3,
,,,-1.2250001E-3,-340.00000358E-3,,,,,-1.2250001E-3,59.999998659E-3,
,,,-1.2240001E-3,-340.00000358E-3,,,,,-1.2240001E-3,79.999998212E-3,
,,,-1.2230001E-3,-259.99999046E-3,,,,,-1.2230001E-3,59.999998659E-3,
,,,-1.2220001E-3,-239.99999464E-3,,,,,-1.2220001E-3,59.999998659E-3,
,,,-1.2210001E-3,-199.99998808E-3,,,,,-1.2210001E-3,59.999998659E-3,
,,,-1.2200001E-3,-140.0000006E-3,,,,,-1.2200001E-3,59.999998659E-3,
,,,-1.2190001E-3,-99.999994040E-3,,,,,-1.2190001E-3,19.9999996E-3,
,,,-1.2180001E-3,-79.999998212E-3,,,,,-1.2180001E-3,59.999998659E-3,
,,,-1.2170001E-3,-19.9999996E-3,,,,,-1.2170001E-3,59.999998659E-3,
,,,-1.2160001E-3,39.99999911E-3,,,,,-1.2160001E-3,39.99999911E-3,
,,,-1.2150001E-3,59.999998659E-3,,,,,-1.2150001E-3,39.99999911E-3,
,,,-1.2140000E-3,99.999994040E-3,,,,,-1.2140000E-3,39.99999911E-3,
,,,-1.2130000E-3,140.0000006E-3,,,,,-1.2130000E-3,39.99999911E-3,
,,,-1.2120001E-3,159.99999642E-3,,,,,-1.2120001E-3,39.99999911E-3,
,,,-1.2110001E-3,199.99998808E-3,,,,,-1.2110001E-3,39.99999911E-3,
,,,-1.2100001E-3,259.99999046E-3,,,,,-1.2100001E-3,39.99999911E-3,
,,,-1.2090001E-3,299.99998212E-3,,,,,-1.2090001E-3,39.99999911E-3,
,,,-1.2080001E-3,340.00000358E-3,,,,,-1.2080001E-3,19.9999996E-3,
,,,-1.2070001E-3,399.99997616E-3,,,,,-1.2070001E-3,19.9999996E-3,
,,,-1.2060001E-3,399.99997616E-3,,,,,-1.2060001E-3,39.99999911E-3,
,,,-1.2050001E-3,459.999978542E-3,,,,,-1.2050001E-3,19.9999996E-3,
,,,-1.2040001E-3,500.000000000E-3,,,,,-1.2040001E-3,0.0,
