Record Length,10000,Points,33.24000165E-3,-2.6000000E-3,,Record Length,10000,Points,33.24000165E-3,-799.999979790E-6,
Sample Interval,39.99999976E-9,s,33.24004263E-3,-1.8000000E-3,,Sample Interval,39.99999976E-9,s,33.24004263E-3,-1.6000000E-3,
Trigger Point,-831.000085737E3,Samples,33.24007988E-3,199.99999495E-6,,Trigger Point,-831.000085737E3,Samples,33.24007988E-3,-799.999979790E-6,
,,,33.24012086E-3,-1.4000000E-3,,,,,33.24012086E-3,-799.999979790E-6,
,,,33.24016184E-3,-2.2000000E-3,,,,,33.24016184E-3,-1.6000000E-3,
,,,33.24020281E-3,1.8000000E-3,,,,,33.24020281E-3,1.1999999E-3,
Source,CH1,,33.24024007E-3,-999.999931082E-6,,Source,CH2,,33.24024007E-3,399.99998990E-6,
Vertical Units,V,,33.24028105E-3,-3.39999981E-3,,Vertical Units,V,,33.24028105E-3,-799.999979790E-6,
Vertical Scale,9.999999747E-3,,33.24032202E-3,2.2000000E-3,,Vertical Scale,9.999999747E-3,,33.24032202E-3,799.999979790E-6,
Vertical Offset,0,,33.24036300E-3,1.8000000E-3,,Vertical Offset,0,,33.24036300E-3,799.999979790E-6,
Horizontal Units,s,,33.24040025E-3,-1.8000000E-3,,Horizontal Units,s,,33.24040025E-3,0.0,
Horizontal Scale,39.99999976E-6,,33.24044123E-3,-2.6000000E-3,,Horizontal Scale,39.99999976E-6,,33.24044123E-3,0.0,
Pt Fmt,Y,,33.24048221E-3,1.4000000E-3,,Pt Fmt,Y,,33.24048221E-3,1.1999999E-3,
Yzero,2.4600000,,33.24052319E-3,-1.4000000E-3,,Yzero,-2.1200000,,33.24052319E-3,0.0,
Probe Atten,1.000000,,33.24056044E-3,999.999931082E-6,,Probe Atten,1.000000,,33.24056044E-3,0.0,
,,,33.24060142E-3,599.999970291E-6,,,,,33.24060142E-3,0.0,
Note,DPO3014 - 15:16:29   26-May-22,,33.24064240E-3,-199.99999495E-6,,Note,DPO3014 - 15:16:29   26-May-22,,33.24064240E-3,0.0,
,,,33.24068338E-3,-3.00000003E-3,,,,,33.24068338E-3,-799.999979790E-6,
,,,33.24072063E-3,199.99999495E-6,,,,,33.24072063E-3,-399.99998990E-6,
,,,33.24076161E-3,1.8000000E-3,,,,,33.24076161E-3,1.6000000E-3,
,,,33.24080259E-3,-1.8000000E-3,,,,,33.24080259E-3,0.0,
,,,33.24083984E-3,-3.00000003E-3,,,,,33.24083984E-3,-399.99998990E-6,
,,,33.24088082E-3,999.999931082E-6,,,,,33.24088082E-3,399.99998990E-6,
,,,33.24092180E-3,-599.999970291E-6,,,,,33.24092180E-3,0.0,
,,,33.24096277E-3,-999.999931082E-6,,,,,33.24096277E-3,-799.999979790E-6,
,,,33.24100003E-3,1.8000000E-3,,,,,33.24100003E-3,-399.99998990E-6,
,,,33.24104100E-3,-599.999970291E-6,,,,,33.24104100E-3,-799.999979790E-6,
,,,33.24108198E-3,-1.4000000E-3,,,,,33.24108198E-3,-1.9999999E-3,
,,,33.24112296E-3,-1.4000000E-3,,,,,33.24112296E-3,-1.1999999E-3,
,,,33.24116021E-3,1.4000000E-3,,,,,33.24116021E-3,0.0,
,,,33.24120119E-3,-199.99999495E-6,,,,,33.24120119E-3,-399.99998990E-6,
,,,33.24124217E-3,-3.39999981E-3,,,,,33.24124217E-3,-1.6000000E-3,
,,,33.24128315E-3,-599.999970291E-6,,,,,33.24128315E-3,-1.1999999E-3,
,,,33.24132040E-3,199.99999495E-6,,,,,33.24132040E-3,-799.999979790E-6,
,,,33.24136138E-3,-3.00000003E-3,,,,,33.24136138E-3,-1.6000000E-3,
,,,33.24140236E-3,599.999970291E-6,,,,,33.24140236E-3,-799.999979790E-6,
,,,33.24144334E-3,1.4000000E-3,,,,,33.24144334E-3,799.999979790E-6,
,,,33.24148059E-3,-2.6000000E-3,,,,,33.24148059E-3,-799.999979790E-6,
,,,33.24152157E-3,-1.8000000E-3,,,,,33.24152157E-3,-1.1999999E-3,
,,,33.24156255E-3,3.00000003E-3,,,,,33.24156255E-3,1.6000000E-3,
,,,33.24159980E-3,599.999970291E-6,,,,,33.24159980E-3,799.999979790E-6,
,,,33.24164078E-3,-1.4000000E-3,,,,,33.24164078E-3,399.99998990E-6,
,,,33.24168175E-3,999.999931082E-6,,,,,33.24168175E-3,1.1999999E-3,
,,,33.24172273E-3,2.2000000E-3,,,,,33.24172273E-3,1.9999999E-3,
,,,33.24175999E-3,599.999970291E-6,,,,,33.24175999E-3,1.1999999E-3,
,,,33.24180096E-3,199.99999495E-6,,,,,33.24180096E-3,399.99998990E-6,
,,,33.24184194E-3,1.8000000E-3,,,,,33.24184194E-3,1.6000000E-3,
,,,33.24188292E-3,599.999970291E-6,,,,,33.24188292E-3,799.999979790E-6,
,,,33.24192017E-3,-1.8000000E-3,,,,,33.24192017E-3,-1.9999999E-3,
,,,33.24196115E-3,2.6000000E-3,,,,,33.24196115E-3,799.999979790E-6,
,,,33.24200213E-3,1.4000000E-3,,,,,33.24200213E-3,799.999979790E-6,
,,,33.24204311E-3,-3.39999981E-3,,,,,33.24204311E-3,-1.1999999E-3,
,,,33.24208036E-3,-1.8000000E-3,,,,,33.24208036E-3,-399.99998990E-6,
,,,33.24212134E-3,599.999970291E-6,,,,,33.24212134E-3,399.99998990E-6,
,,,33.24216232E-3,-999.999931082E-6,,,,,33.24216232E-3,0.0,
,,,33.24220330E-3,-999.999931082E-6,,,,,33.24220330E-3,399.99998990E-6,
,,,33.24224055E-3,199.99999495E-6,,,,,33.24224055E-3,0.0,
,,,33.24228153E-3,-199.99999495E-6,,,,,33.24228153E-3,-799.999979790E-6,
,,,33.24232250E-3,-1.8000000E-3,,,,,33.24232250E-3,-1.6000000E-3,
,,,33.24236348E-3,-199.99999495E-6,,,,,33.24236348E-3,-399.99998990E-6,
,,,33.24240074E-3,1.8000000E-3,,,,,33.24240074E-3,799.999979790E-6,
,,,33.24244171E-3,-2.2000000E-3,,,,,33.24244171E-3,799.999979790E-6,
,,,33.24248269E-3,-3.79999983E-3,,,,,33.24248269E-3,-1.6000000E-3,
,,,33.24251994E-3,1.4000000E-3,,,,,33.24251994E-3,399.99998990E-6,
,,,33.24256092E-3,-199.99999495E-6,,,,,33.24256092E-3,799.999979790E-6,
,,,33.24260190E-3,-1.4000000E-3,,,,,33.24260190E-3,-799.999979790E-6,
,,,33.24264288E-3,599.999970291E-6,,,,,33.24264288E-3,-399.99998990E-6,
,,,33.24268013E-3,-999.999931082E-6,,,,,33.24268013E-3,-799.999979790E-6,
,,,33.24272111E-3,-1.4000000E-3,,,,,33.24272111E-3,-1.6000000E-3,
,,,33.24276209E-3,199.99999495E-6,,,,,33.24276209E-3,-799.999979790E-6,
,,,33.24280307E-3,1.8000000E-3,,,,,33.24280307E-3,0.0,
,,,33.24284032E-3,-199.99999495E-6,,,,,33.24284032E-3,-799.999979790E-6,
,,,33.24288130E-3,-3.79999983E-3,,,,,33.24288130E-3,-1.9999999E-3,
,,,33.24292228E-3,599.999970291E-6,,,,,33.24292228E-3,-799.999979790E-6,
,,,33.24296325E-3,2.2000000E-3,,,,,33.24296325E-3,799.999979790E-6,
,,,33.24300051E-3,-1.4000000E-3,,,,,33.24300051E-3,799.999979790E-6,
,,,33.24304149E-3,-199.99999495E-6,,,,,33.24304149E-3,-399.99998990E-6,
,,,33.24308246E-3,1.4000000E-3,,,,,33.24308246E-3,1.1999999E-3,
,,,33.24312344E-3,-199.99999495E-6,,,,,33.24312344E-3,0.0,
,,,33.24316069E-3,599.999970291E-6,,,,,33.24316069E-3,399.99998990E-6,
,,,33.24320167E-3,2.2000000E-3,,,,,33.24320167E-3,1.9999999E-3,
,,,33.24324265E-3,-599.999970291E-6,,,,,33.24324265E-3,399.99998990E-6,
,,,33.24327990E-3,-999.999931082E-6,,,,,33.24327990E-3,0.0,
,,,33.24332088E-3,-599.999970291E-6,,,,,33.24332088E-3,-1.1999999E-3,
,,,33.24336186E-3,2.2000000E-3,,,,,33.24336186E-3,799.999979790E-6,
,,,33.24340284E-3,-999.999931082E-6,,,,,33.24340284E-3,799.999979790E-6,
,,,33.24344009E-3,-2.2000000E-3,,,,,33.24344009E-3,-1.9999999E-3,
,,,33.24348107E-3,599.999970291E-6,,,,,33.24348107E-3,0.0,
,,,33.24352205E-3,-1.8000000E-3,,,,,33.24352205E-3,0.0,
,,,33.24356303E-3,-1.8000000E-3,,,,,33.24356303E-3,-1.9999999E-3,
,,,33.24360028E-3,1.4000000E-3,,,,,33.24360028E-3,0.0,
,,,33.24364126E-3,599.999970291E-6,,,,,33.24364126E-3,799.999979790E-6,
,,,33.24368224E-3,-3.39999981E-3,,,,,33.24368224E-3,-1.1999999E-3,
,,,33.24372321E-3,199.99999495E-6,,,,,33.24372321E-3,399.99998990E-6,
,,,33.24376047E-3,2.2000000E-3,,,,,33.24376047E-3,399.99998990E-6,
,,,33.24380144E-3,-199.99999495E-6,,,,,33.24380144E-3,399.99998990E-6,
,,,33.24384242E-3,-199.99999495E-6,,,,,33.24384242E-3,799.999979790E-6,
,,,33.24388340E-3,199.99999495E-6,,,,,33.24388340E-3,0.0,
